,MedInc
19842,1.8801
16698,2.1042
14214,2.375
6404,3.0727
4854,2.1173
14555,6.712000000000001
16165,3.5833
9387,4.7475
6220,5.0758
3850,3.4583
5286,4.6197
1470,6.7821
11665,3.9156
7183,2.6964
8783,3.3958
9776,2.6648
3801,4.1544
87,0.76
4650,3.5517
10728,8.8742
16140,3.2396
9379,3.6731
2308,4.9292
18856,2.1898
20404,6.2935
7304,3.0114
17797,5.4949
8826,2.0702
9728,4.5787
14002,3.1917
13942,7.1997
1477,2.5841
13259,2.8326
14736,6.5412
3995,6.2064
1228,2.7344
2685,3.0091
2353,2.6875
16095,3.8333
3885,5.1265
3683,5.6687
18252,5.0871
16135,9.1881
3101,5.8625
8850,15.0001
764,3.7303
10825,3.184
8742,7.0935
213,2.6042
5862,2.6827
4451,1.8781
3809,3.5
5435,3.5667
7495,2.85
19049,2.3438
10558,2.2969
3787,2.3784
792,4.1141
17951,3.4375
18975,1.9954
14413,4.1742
6659,3.1875
1904,4.225
10589,2.1406
19813,2.5417
4400,2.875
9600,2.0521
9118,3.7636
13515,3.2656
10962,3.5972
14697,3.8333
7868,3.1923
6366,6.101
9435,2.7188
11522,7.1673
2067,1.7692
11809,1.0179
20308,4.0222
6146,3.1034
6977,8.6677
17944,2.3547
20359,7.6016
15273,4.0118
14317,1.8008
15560,4.0484
9433,3.625
7935,2.7759
6859,3.5089
2109,1.9955
11324,4.2813
11644,5.8527
10252,3.343
15753,4.1417
7877,3.3713
5564,3.8372
2620,2.8182
12965,4.3643
15300,2.5509
16294,1.5539
20344,3.0219
17247,2.375
1743,1.875
20009,2.3194
2032,1.8723
8456,4.8409
4868,1.6037
9190,1.9875
12926,4.2188
3790,0.8198
6122,2.9459
16390,4.9861
1027,3.2031
12797,2.5643
9335,4.1379
19783,2.3667
14422,2.4643
19735,2.881
4172,2.712
17831,5.5968
14336,1.5909
19335,3.6583
4324,4.5833
8630,4.75
18234,3.4868
8675,5.3244
16957,6.8336
15640,4.2458
1517,3.7433
7615,3.1667
15105,3.3067
14779,2.569
3068,1.6045
17733,4.5045
19770,2.3929
11277,3.4821
17354,4.6694
12000,7.5408
7048,1.9453
3340,3.4375
1493,6.7061
12597,2.9911
1435,3.5179
4408,2.6923
14799,2.4213
382,4.1458
15773,4.6912
7281,1.7929
8326,2.5679
9661,2.2321
9108,7.1381
496,3.2619
15989,3.6346
19845,1.5608
2413,3.9073
20371,5.3558
7616,5.1948
17540,4.2381
15653,4.5581
15425,2.724
13951,5.2563
1384,5.1297
296,1.9356
5298,2.2857
3593,6.6537
14447,6.9553
9400,7.1924
2281,1.5122
4236,8.0073
19353,3.7352
3001,3.6369
19915,4.2778
7147,4.0625
15201,7.5992
18296,8.9172
10159,6.8429
3744,3.8056
10129,5.4617
16036,3.2875
18967,3.1389
12621,3.1607
5275,15.0001
18950,2.6827
17429,3.3203
12852,2.5542
16042,3.0
6831,2.6981
18979,3.1176
19001,6.1112
14734,3.7292
10218,3.6435
14759,1.7958
18331,6.1575
16826,3.2446
14000,3.5507
981,6.8132
17249,3.1667
6468,4.0179
16732,4.1875
12935,3.7869
5563,4.4636
3876,4.3462
10827,4.8125
16098,4.0985
15165,4.5032
20449,4.0474
18164,4.4699
6631,1.7321
3877,4.9643
12653,2.6288
20067,2.6696
13696,3.4138
17574,2.3633
1855,1.7038
192,2.1
12835,2.2243
2663,1.9625
13812,2.8281
6034,4.1339
1383,5.4496
1606,2.9330000000000003
17393,2.5556
3887,2.9389
2201,4.8036
9389,7.9892
10856,5.2138
19381,1.7188
278,2.6667
12791,3.2039
13451,3.6466
5384,2.4135
7067,4.4318
5532,4.9375
19415,3.375
14023,2.2687
8910,2.5261
15322,3.9875
8486,3.0147
17684,2.3971
1868,2.02
6989,2.6082
6238,3.6563
10600,6.9133
16515,2.125
1893,1.7188
14879,3.455
7567,2.2125
3481,8.8467
7130,5.1515
3698,2.3182
6353,3.0380000000000003
1189,2.3566
7546,3.6719
11499,4.1862
1499,3.1406
19278,2.5735
18597,4.425
5038,3.8235
104,2.8406
4311,1.879
19087,3.075
13455,4.8889
12896,3.8068
17600,5.0360000000000005
576,7.2634
6337,5.7407
18489,4.3227
19051,3.9286
9019,8.0137
12510,2.6417
17506,2.7411
11450,6.8039
13417,2.7574
1653,8.3956
16630,3.2226
15826,2.9052
13146,2.4353
984,5.7519
18135,5.0785
9492,2.3583
10691,1.9
11738,1.7375
4464,1.9038
14244,3.6042
7242,2.4259
4836,2.1471
8237,1.4048
3788,2.4107
8246,2.5544
3993,6.5304
19612,3.5795
17264,2.6538
12783,1.0398
12354,3.7396
13774,2.29
18628,7.5755
3393,6.0808
12109,4.6667
4765,2.3687
16605,4.2841
16426,2.0284
6587,5.9771
13971,4.0132
6505,3.4202
6185,4.375
8062,7.2096
11951,4.1776
4810,1.7159
17458,1.179
1398,4.2917
16461,4.196000000000001
7746,3.3411
3138,2.6149
12363,4.3111
10447,6.5964
96,2.8345
5915,1.7708
8126,1.75
3260,2.0208
2898,1.075
15607,6.2152
6789,3.1204
3951,5.5709
18611,4.5972
239,2.7788
16044,2.9119
10280,5.3339
5470,2.975
19122,3.402
6673,3.6474
3190,5.1728
10681,8.4614
16360,1.7774
17184,4.5625
20334,4.6930000000000005
15405,3.4359
15797,3.6031
3040,2.1635
10430,4.875
13359,5.5425
17617,3.6294
5931,6.5253
1890,2.9960000000000004
170,2.6458
3099,3.3269
13960,3.5288
1887,3.15
9930,5.3351
13677,3.0042
11567,5.0091
16865,4.4464
19282,2.8036
2024,1.3587
3072,2.1806
9369,3.7647
6394,7.0315
12286,1.625
13004,3.8906
10965,4.1951
19292,4.125
4495,2.2344
1442,5.4607
3079,2.5806
16556,3.7292
13202,1.4722
17823,5.8686
17514,4.7768
13459,2.4492
4052,7.672000000000001
14630,3.4
11356,3.1403
7210,2.2902
3155,1.7917
14760,1.7301
13719,3.3924
160,2.1944
16838,4.5556
7118,3.5938
137,8.317
6896,3.6625
7974,2.525
694,2.3274
18417,5.5
17556,2.8594
13906,1.9375
16822,4.0556
4685,3.6111
7236,2.5326
12560,1.8333
9979,3.1563
3506,4.175
5845,3.0973
5702,5.0862
13033,5.47
16876,3.5817
17618,5.0822
10459,7.2013
10740,3.6538
6803,2.575
18864,3.8029
17273,2.6607
6068,5.1762
17381,4.0431
14175,3.0938
559,3.4762
10698,4.9
17456,3.6023
6278,3.875
12685,0.9274
11647,5.7089
12294,2.0549
8138,4.875
6436,4.2132
17968,5.7833
17411,2.4318
7321,1.6341
14202,3.5341
12426,2.5
16954,5.4351
468,2.537
12488,1.7568
15259,3.9826
10142,7.898
12374,3.3799
7366,2.4688
19152,2.8261
14473,8.051
6861,2.8672
16831,5.1282
113,3.1484
19688,2.2431
18026,4.7917
14508,3.9356
17263,2.5506
418,6.1593
3157,2.7845
12586,3.5231
5538,7.7197
20522,3.0536
14394,2.79
18824,1.74
18750,2.1458
17836,6.5004
17127,4.9830000000000005
15012,3.141
15439,4.8929
9255,1.4044
5595,2.375
11093,5.3812
3273,3.5652
15537,3.875
988,6.6827
7475,2.6339
15243,5.8393
6045,1.9718
8444,3.9355
6080,6.1498
10926,2.9167
15650,1.9145
8335,2.2448
5503,2.6667
6249,4.1429
19592,4.8958
10475,6.8154
16497,2.7857
14987,3.4784
17041,6.1064
12280,3.7083
15069,2.9784
14256,1.7
6730,8.1124
4379,2.3333
6555,7.7108
14929,6.9664
19901,1.1419
13304,2.8977
1396,3.7262
6782,3.7235
19733,2.5197
8041,4.1538
14393,2.3042
11113,2.3173
19869,3.1486
3263,2.2188
15625,3.6065
14258,1.8125
6942,4.0677
872,4.3594
4184,4.825
30,1.9274
17008,4.9464
7884,3.3304
20467,6.1253
11822,4.7143
3796,4.0764
10636,4.4286
5676,3.7596
15185,4.1279
8959,3.9688
15503,7.5402
14985,3.5
13119,4.5272
3607,2.7121
13337,3.9107
1098,2.3833
10537,8.7591
18240,2.5208
994,3.9864
17347,3.9375
14178,2.5682
5547,5.6732
10307,7.5744
16514,2.1186
8328,1.6716
9168,1.9667
5604,3.2011
3100,4.0167
4917,1.8641
15516,4.8554
18999,5.8269
9151,5.1163
4890,1.913
10620,6.276
10499,2.9762
3651,2.875
14954,4.375
12768,1.3696
17692,6.2907
6959,4.1058
4856,2.2981
1001,3.5532
20339,5.8838
15292,5.1837
68,1.8516
6766,3.1975
12245,2.2161
3409,3.8
10042,2.535
9084,5.0285
18942,6.8872
10782,4.8098
12491,1.9034
10050,3.6607
14331,1.3071
19942,2.3
11562,3.3125
8864,3.8158
9535,2.3333
14539,5.2864
8408,1.7344
6688,0.4999
20277,4.4292
12729,5.0492
4513,3.2639
2049,2.2437
17898,3.0375
10677,4.1699
385,3.3333
6102,4.5221
7780,2.895
19973,2.6184
8763,6.8553
19730,2.9324
6521,2.1094
18289,5.0804
2198,7.5
12434,2.0347
17908,6.3191
2876,1.625
12092,4.2273
8534,2.9551
6937,4.1458
5331,3.2663
4033,7.8392
443,3.5156
4728,3.3824
19391,2.2679
18,1.9911
12350,2.5399
5863,4.1923
18741,1.6821
2283,2.1544
7648,4.25
5708,3.3287
19685,1.4661
15796,2.5403
18713,3.9375
19767,2.3043
7876,2.6641
13425,5.3671
13927,2.1908
10057,2.2278
12013,5.3735
9016,6.5571
332,2.15
16372,4.0227
8346,4.6389
1486,6.6727
10536,8.583
12666,2.9571
20354,7.0242
5258,13.5728
16777,4.6447
10026,1.9886
10304,5.3307
4866,1.4167
18398,6.7287
4904,1.4653
4713,2.9605
20407,7.3409
1768,3.2333
1744,2.0724
15554,2.2146
5041,3.5114
7706,5.4042
13426,3.7578
10195,4.0288
2462,1.7813
13915,2.6111
1167,1.6352
8024,4.625
6571,3.2216
5002,2.6667
11698,5.1315
2196,3.8056
15551,3.1429
6275,2.1863
10481,8.8636
3757,1.9866
13430,3.3958
7373,3.0143
10803,3.8125
13331,3.6467
7752,2.5208
14902,2.5625
1355,3.5436
16823,4.2593
6292,3.6308
19413,2.5486
13406,3.5488
18084,6.2182
12050,2.3654
497,2.7054
7055,3.0
464,2.7372
3056,3.176
14138,2.6629
4870,1.7976
12774,1.8792
17468,6.3654
7254,2.2813
3084,2.0694
12015,4.3723
8696,5.4791
6016,2.4464
12152,5.3238
14680,4.3783
17129,2.7993
15311,1.9891
8381,2.7284
12186,3.1513
2319,2.3173
13513,2.0391
14126,2.5101
16983,5.8221
5726,4.9297
11094,3.5893
13553,1.9375
5125,1.625
2518,2.2569
16143,4.1635
19701,2.6842
10067,2.125
16956,5.3261
3526,4.1042
15520,2.6152
4788,2.0304
11362,3.9816
5688,7.585
14575,3.5078
20045,1.3952
20466,5.5983
13136,4.1597
15060,3.0192
3250,2.0976
5241,8.2816
10189,4.7984
5884,3.6111
1140,2.3798
5293,7.7382
6635,6.6031
2791,1.8325
12373,3.6161
18096,7.7643
10850,3.225
11378,4.875
9891,2.2366
5228,2.0
10562,10.4498
6485,2.8029
15665,4.6781
6431,4.0729
7735,3.1496
3434,2.9205
11587,5.5446
12220,5.2066
13911,2.2083
4743,2.8793
20443,3.3438
14061,3.2708
11811,3.3021
10652,6.7861
5611,2.1447
13881,3.2077
13794,2.0184
3124,3.3693
5585,5.322
4671,2.3864
16717,3.3125
16430,5.5057
15345,2.6442
6817,3.9219
5255,8.5153
18807,1.7538
2092,1.4635
16844,4.9732
4602,1.2012
3119,4.1518
5572,5.1727
17717,8.1871
8070,3.835
10028,1.5313
1585,9.5271
20571,3.4186
14669,4.2621
13767,4.8173
10428,6.2871
2798,1.7868
4317,3.1078
14429,3.0774
413,5.4171
11082,6.6603
8012,4.6908
8539,4.0727
12989,2.7477
2694,3.3182
6104,3.9934
7646,3.8621
11910,3.864
20495,5.2067
11313,3.2632
7430,2.0372
9832,3.1912
14093,2.0852
10080,3.4792
2116,2.6611
7141,3.0212
7351,1.9063
5432,3.3955
9368,5.0779
9319,1.9063
67,2.6094
19009,2.5707
13947,3.0434
4096,4.1656
13550,2.6771
4139,2.369
2189,3.6
2934,1.6981
18110,3.375
14057,3.0
10229,2.6563
9120,3.275
11195,3.375
14920,5.152
11736,4.2917
2948,0.9288
1425,2.3152
14894,2.8489
20233,6.194
5047,6.5044
4661,1.9152
3102,5.2043
8909,1.3333
10483,14.9009
1198,2.3224
8860,3.3438
14561,5.7451
6041,2.0734
18739,2.71
8535,3.3971
2767,2.0109
951,4.2281
7813,4.4896
191,2.2542
5973,4.4609
314,1.2083
2474,2.8913
10651,4.4464
13235,8.0103
10415,3.375
15909,3.8864
5671,4.1451
18162,6.8753
14914,3.9076
10593,6.8219
20631,3.5179
7342,3.0114
2611,3.2891
7207,2.625
1410,2.892
18665,2.7375
2320,2.7159
3281,1.4679
8839,3.5114
2863,3.5441
11730,3.653
9341,4.1098
10332,10.1316
7550,3.2976
16026,3.8304
14644,4.0057
9409,5.9073
10656,3.7976
923,9.7194
5904,3.1212
14328,4.2375
508,4.0018
8121,1.7938
1573,3.375
13263,3.4634
3357,2.1875
4882,1.5652
16396,2.4342
11497,9.5268
2453,3.0294
12830,2.5
19251,4.5417
10433,2.7545
11915,3.1384
16935,3.4902
9687,5.0374
12067,5.2861
19818,3.0156
19176,4.5588
13504,2.3508
6557,8.7835
5517,7.4897
1202,1.8355
14088,3.5529
4620,2.6218
4753,2.9130000000000003
7042,3.8542
3089,1.5667
1783,1.3365
13156,2.6818
7206,3.0972
8730,3.625
1501,4.6602
15611,6.2578
5812,1.2188
11285,2.8
6423,1.0548
5066,1.1645
12955,3.235
4935,1.3403
18318,5.6413
15366,2.7986
2574,2.1101
377,3.8047
15539,2.2875
3453,3.6548
1548,6.2781
735,5.5797
553,2.9899
506,2.2106
9192,4.5491
7645,3.9286
18645,3.1167
18746,1.9946
15331,4.0469
12202,4.7944
20419,6.5162
4078,4.3
1238,3.3542
10947,2.246
7108,4.2292
20146,3.2757
18631,4.625
6672,2.6172
17769,2.6894
13334,3.2062
18256,6.1995
2593,3.3462
11501,5.882999999999999
19914,3.0972
17552,3.0089
16740,4.7708
8604,4.4828
6927,2.63
18144,7.4729
1000,3.3841
17426,2.5966
2162,2.6127
18429,5.5121
18366,11.3283
292,3.5739
19528,2.0833
12807,0.9379
7045,4.625
16669,4.2639
501,2.2841
15929,4.5769
5009,3.5
6665,4.3083
9530,2.5761
770,4.6875
4966,1.6036
6085,5.2405
14618,3.7292
1857,2.4605
5001,1.7849
7117,5.4236
1026,3.0
2647,3.25
19003,4.976
8568,5.5347
2007,1.123
4329,2.2422
3406,3.1607
14376,6.597
12983,5.2817
3528,5.3847
16533,1.9464
9055,3.682
18734,3.9306
17635,7.9819
14566,4.5402
4766,2.1078
9436,1.398
2424,1.4937
1589,9.0776
17808,6.7867
17756,4.375
597,4.125
8353,4.6667
18176,6.7718
14584,4.2768
4029,3.0943
16457,5.0
9340,4.1659
4150,3.4625
2187,1.6168
8460,3.5313
9454,1.2281
17593,3.6563
18936,5.3345
5747,5.5118
5540,5.1064
14820,1.6806
12380,4.4107
13841,2.6125
155,8.8793
2713,4.475
2771,1.7857
17483,6.7247
1660,6.2296
3032,4.4561
18623,3.9728
14246,2.085
12566,1.9485
12981,3.8603
7384,1.9119
7738,4.0039
10187,2.0227
9824,2.475
15158,5.5882
245,1.7188
10016,3.7125
732,3.6
10065,2.8102
17490,2.1389
10443,4.665
5153,1.2969
16993,5.6936
13888,2.0
302,1.8407
7431,3.3472
14660,4.4886
15924,4.3125
5652,2.1382
17240,2.9896
37,1.4103
2865,2.1111
20376,10.2614
8348,4.0
12789,1.4387
16357,2.5212
1030,3.0125
18757,2.212
12958,1.9093
12321,2.8056
5560,6.2551
2891,1.2618
19966,2.5156
9794,10.1854
18782,3.2788
243,3.0536
13051,3.9727
900,4.75
1376,4.1189
13320,2.4583
4298,1.9766
19933,2.9698
6162,4.064
13468,3.3438
6792,3.3988
18860,5.1014
709,3.1796
13017,4.3214
2154,2.2614
16892,4.4
6148,2.9712
17136,7.6129
17236,6.5631
483,2.6914
13059,3.1654
4900,1.2857
12745,2.1472
6332,6.7978
5687,7.1463
17871,2.9817
16308,4.5278
17207,3.6719
6456,3.2596
1097,4.712
18910,1.6368
13052,4.3235
15885,2.59
20595,2.9647
4287,1.7083
5786,3.052
8184,5.7389
11466,4.6591
11030,2.378
2997,2.5575
2322,3.5078
9000,4.0
19452,4.2471
18029,4.7118
6350,6.2654
16185,2.2024
12715,6.3406
18237,4.1875
18673,5.8325
15818,1.65
9583,2.75
3716,3.5164
18720,2.4079
19403,4.3864
212,3.0893
7423,2.3241
10563,7.9739
10279,4.6172
2800,1.1471
5362,5.1637
13144,2.9744
3469,3.6736
2022,2.1458
10180,3.7222
14299,2.1164
1135,2.3711
3765,4.375
12709,2.2264
15249,4.125
2194,2.1618
10754,5.6336
17404,1.6875
15255,6.3525
8069,3.3125
6717,4.7344
19991,2.2264
15609,6.4745
18189,4.2782
2543,2.2566
4707,3.2411
14307,1.8696
1494,4.125
13765,2.8031
11795,4.0862
10639,6.5783
5720,7.2812
18372,4.4004
17792,4.0385
8367,3.1194
15198,6.2715
14757,1.6348
16257,1.7895
1815,4.1146
12114,3.5851
20180,4.8472
4588,0.9563
1422,3.7333
8557,4.7319
19822,2.0857
20077,2.5729
9209,4.1099
16047,2.875
9561,4.0694
13600,3.7188
9995,4.0775
1418,4.125
8527,6.0088
8614,4.9821
3931,2.9974
16572,2.825
11806,4.6771
5405,4.2434
5063,2.5547
18197,5.791
945,4.9867
12569,2.4618
11011,7.0565
1981,5.7373
10139,3.4954
10736,4.0764
6889,3.5357
4447,2.4135
8741,4.4271
9385,7.2905
7568,2.9293
11393,5.0875
15593,1.9875
15629,7.7852
11960,4.3222
11948,2.1023
15785,4.7105
4845,2.8295
2414,1.767
15295,2.25
2736,1.6667
18427,3.1932
5285,3.7721
10101,5.7796
2127,3.1417
198,2.57
11630,5.6093
13341,6.7544
20212,5.533
15417,4.4531
15951,3.9565
20076,2.6544
1949,2.5625
19406,3.8598
2072,1.4817
8879,8.3839
15400,3.3882
18109,7.218
9501,3.1201
10661,10.0757
2098,1.869
17993,3.1509
11154,4.9115
20617,3.3021
19826,4.2222
11424,5.8195
19773,3.1319
14080,2.7928
2292,2.2094
11673,5.4746
9660,2.4519
16787,5.7535
18607,7.8774
3332,2.9583
1320,1.2024
8720,6.1187
8086,4.6458
510,11.8603
14895,2.1441
17675,2.6
19670,2.0643
11677,3.875
13230,6.4559
41,1.2852
6877,2.5104
387,3.4732
14206,5.1305
862,6.2073
17709,4.3782
19841,2.6711
7286,3.0724
1767,2.875
12847,3.2361
9042,4.6417
11565,5.1345
334,2.1587
15946,3.8274
455,1.725
16734,3.3816
3891,4.3194
11958,3.6667
8072,4.1354
15791,2.0548
12557,2.0242
7160,1.3971
18157,4.9087
17859,3.8421
1023,2.2417
20008,1.6354
2434,2.6858
12187,3.1832
3309,1.7566
19536,4.25
4885,2.1667
14623,2.2768
6206,7.5
1128,2.5428
16651,2.084
8593,4.4211
17089,2.5
12813,3.7449
19862,2.1602
12908,3.3182
6683,5.0393
19091,2.9871
4556,0.6775
5318,10.8045
19137,2.5819
19375,3.1136
19941,2.5
5709,2.5463
3299,1.6865
19817,2.5521
3410,4.4375
5625,2.5262
2443,1.2647
6047,3.0375
20310,2.7260000000000004
9103,3.8594
13377,5.3678
38,3.48
7657,4.4539
18213,5.6999
4210,2.625
877,3.3008
8847,15.0001
16227,2.9107
19824,2.9554
8425,3.3558
13681,4.6445
17416,1.6488
9799,3.9792
7212,2.2991
17686,2.7768
4005,6.8107
17047,7.4678
3829,2.7237
2719,2.6172
5593,3.35
10894,3.4130000000000003
5837,2.875
3753,3.6563
4974,1.2778
4037,3.6141
19061,3.5507
5449,3.9798
12804,1.0685
8116,3.9792
19486,2.7621
9177,5.305
5744,3.1484
10099,2.6123
3396,4.2685
13326,2.3347
16391,2.6994
4691,4.3667
18808,2.9063
8022,4.4423
6400,3.735
8139,5.1171
14668,3.6458
12751,3.5625
8521,4.9779
13755,2.8125
1233,3.75
1771,3.6094
11605,5.875
11133,3.2188
7357,2.2817
6867,3.1892
7191,2.7880000000000003
6270,3.8864
19294,3.6696
18602,7.1831
16858,2.639
1675,3.9345
19433,3.3567
19153,3.1781
5808,4.1083
3305,1.6769
19728,2.9048
11172,6.212999999999999
7699,4.8523
19345,3.8681
8094,4.3424
5514,2.825
13744,3.0651
1277,6.9051
1883,3.0806
2056,3.9211
16528,3.5365
1538,7.5
1004,4.5357
2002,1.2813
5418,6.2917
19724,2.6597
13594,0.7235
18563,2.8056
11018,8.7496
10994,4.7039
4994,1.5846
16496,3.6107
4598,1.4801
12555,1.2679
13538,2.4107
11575,3.5139
19114,6.2034
4042,13.4196
19627,2.2566
10945,2.5224
3201,3.1094
859,4.6146
5918,3.3687
920,5.2396
5853,5.1008
2596,1.6667
16240,3.4141
3245,2.0595
19070,5.2155
14470,6.1025
8665,5.1370000000000005
8556,4.5987
12999,4.2262
18549,2.0172
2363,4.0227
17297,4.806
4519,1.6888
8747,4.0708
10863,4.1
15337,4.3762
2732,1.3882
10017,4.3702
1832,2.7243
17366,3.6815
5189,1.6645
17018,6.8787
2266,2.6522
8266,1.8388
13252,5.7214
4351,2.5588
13162,1.9405
17339,5.038
11703,6.0394
15450,4.2383
4606,15.0001
18147,5.678
11354,3.0635
10846,6.6833
15760,2.5186
16233,5.1915
17336,5.7306
12076,3.4419
6150,3.4427
6379,5.0482
11477,4.4453
2571,3.375
20246,3.6413
16149,3.8571
5342,0.536
15874,2.0577
14167,2.8097
809,6.396
6398,3.3621
12106,1.7579
20498,6.1834
7477,2.6953
9231,1.9063
20056,1.8144
11805,2.8194
19948,1.3889
19717,1.6315
3039,4.8266
16089,3.5296
2085,2.3952
4724,5.0858
6409,6.1536
10249,6.4218
5754,7.4046
9557,2.6439
6089,5.0832
3641,4.5278
13106,3.5625
9766,6.1668
8125,3.5
896,4.2955
10847,4.4625
10910,2.1992
6902,3.3214
8299,5.8408
5680,4.25
16318,3.1369
3549,6.5146
1902,3.5
15393,3.1906
653,3.5781
6038,2.3406
2159,2.5804
7825,4.375
17493,9.7821
1753,2.5382
3403,5.2661
1544,6.2048
7940,4.3194
5773,3.2171
9664,2.0903
9310,8.5759
16075,4.0208
11427,3.7479
17703,3.7102
14047,2.1094
13699,3.5
11675,4.9777
3862,4.0391
1713,4.6944
17395,2.9167
16063,4.3393
19882,3.1599
14034,3.125
10449,4.6518
83,0.8075
9546,2.6923
17679,4.3419
5356,4.0283
13867,4.2224
1146,2.3684
14092,2.2604
15737,3.1462
3589,5.2801
2688,3.8177
11923,3.1667
12519,1.2235
12871,3.6989
9158,8.1344
1584,7.5139
12460,1.625
13967,4.4063
12652,2.2245
15269,6.4247
18375,7.7201
8284,3.2917
11874,3.025
17407,2.4091
5042,1.7067
3513,5.749
10445,5.1439
9388,3.4485
5820,2.4856
11127,2.6563
8610,5.0784
13071,3.5192
5602,4.3816
3936,4.1359
15428,2.1875
15552,1.8363
16231,3.0625
10765,6.1426
12012,6.155
18541,2.0547
19736,6.1359
2148,1.9375
6875,3.3088
573,3.6875
6620,2.2692
10848,4.0341
7069,4.2292
15390,8.2531
10588,5.0631
8157,4.6087
3151,3.8917
6871,2.5938
351,2.5122
3443,1.95
14027,2.75
16736,5.966
4875,0.8440000000000001
17503,3.7396
307,2.2768
14481,9.5245
8220,2.1964
339,4.0469
19228,4.2051
12885,2.7011
15225,7.6832
17627,2.8125
6410,3.8029
1393,6.3699
15193,6.3761
10442,5.1298
19988,3.4231
14925,5.5248
1459,5.2442
1452,5.0092
9463,2.7
2343,4.81
13618,2.9628
12689,5.1385
19986,2.3152
17743,6.6455
708,3.25
361,6.86
2988,2.75
16603,2.9167
4648,2.0278
5250,11.8442
13255,5.0681
12613,3.0963
19909,2.8795
4593,1.5727
18232,3.4198
638,2.9097
19025,4.2137
13412,3.915
7139,2.4286
19556,2.273
16370,4.0156
15515,5.4819
3482,4.3047
9251,4.1544
7571,2.7443
18686,3.1987
622,2.5625
6520,2.4706
12285,3.0417
12392,2.4659
7761,4.875
14793,2.6715
2129,3.1953
7274,1.75
16380,2.505
3255,2.25
14397,1.7622
12014,7.8118
20265,3.8239
9344,4.1711
19265,2.4
15920,4.6786
3417,4.125
18898,2.6133
7921,3.2679
14024,3.4196
2969,10.5941
19634,2.5402
5704,7.5582
18077,9.3464
974,2.4896
13165,3.5714
6363,3.6806
5630,5.7764
7047,3.6125
18853,2.8036
3341,2.3125
8816,11.6677
11514,5.1824
12034,3.5227
10948,2.6561
8264,2.3523
17312,2.4583
17164,5.1831
18295,7.0245
6529,2.5763
10300,6.5841
2991,2.9402
2356,4.9904
5522,3.625
16431,3.9323
8514,4.0473
6322,7.0778
19129,5.0544
395,1.7375
19291,3.6667
10769,4.1372
9313,6.0762
4441,1.6118
20519,1.9728
58,1.2171
12548,4.3929
9740,4.1696
5284,3.5909
8845,3.067
18041,5.2321
19268,3.0341
18774,2.3594
530,3.3438
19163,3.9518
10084,5.0622
7142,2.5852
17281,5.3279
3382,4.6635
10337,6.0531
16616,2.3075
8724,5.9143
904,5.388
5948,5.4224
18913,3.7014
16282,2.551
13463,3.875
11445,6.1624
3136,4.2292
2951,2.1875
18777,3.5978
2374,3.7261
1346,6.0497
1406,4.175
953,7.2494
3144,3.7452
2641,2.7644
14869,2.4148
8757,5.1271
8808,7.5594
4304,1.4497
6108,2.8547
16078,6.2642
3392,5.1145
13982,2.6477
16007,5.0887
11771,4.0519
13305,4.0139
8258,1.1295
751,3.2465
10359,7.5196
1924,3.4688
9383,5.4851
16925,3.9696
6434,2.5114
16807,3.6667
11071,5.6784
2477,2.3295
11592,5.8426
9959,3.6389
1975,2.6833
20328,5.3806
