,Latitude,Longitude
14736,32.81,-117.04
3995,34.17,-118.58
1228,38.42,-120.42
2685,32.97,-115.54
2353,36.77,-119.69
16095,37.76,-122.5
3885,34.21,-118.52
3683,34.23,-118.42
18252,37.39,-122.1
16135,37.79,-122.48
3101,35.64,-117.7
8850,34.09,-118.41
764,37.66,-122.1
10825,33.65,-117.92
8742,33.82,-118.32
213,37.79,-122.22
5862,34.19,-118.34
4451,34.06,-118.21
3809,34.21,-118.46
5435,34.01,-118.42
7495,33.93,-118.25
19049,38.45,-121.83
10558,33.64,-117.72
3787,34.17,-118.37
792,37.64,-122.09
17951,37.34,-121.96
18975,38.24,-122.04
14413,32.78,-117.24
6659,34.15,-118.13
1904,38.87,-120.0
10589,33.69,-117.77
19813,36.61,-119.26
4400,34.08,-118.28
9600,37.31,-120.49
9118,34.57,-118.14
13515,34.11,-117.34
10962,33.78,-117.88
14697,32.79,-117.09
7868,33.88,-118.12
6366,34.16,-118.0
9435,37.57,-120.02
11522,33.72,-118.08
2067,36.65,-119.8
11809,38.94,-121.1
20308,34.19,-119.13
6146,34.11,-117.95
6977,33.98,-118.02
17944,37.33,-121.95
20359,34.17,-118.95
15273,33.06,-117.28
14317,32.7,-117.14
15560,33.09,-117.06
9433,38.18,-122.8
7935,33.83,-118.08
6859,34.05,-118.15
2109,36.75,-119.75
11324,33.76,-117.96
11644,33.81,-118.04
10252,33.89,-117.87
15753,37.77,-122.45
7877,33.87,-118.15
5564,33.91,-118.29
2620,40.92,-124.09
12965,38.7,-121.32
15300,33.18,-117.36
16294,37.96,-121.23
20344,34.23,-119.06
17247,34.43,-119.7
1743,37.96,-122.35
20009,36.15,-119.06
2032,36.73,-119.76
8456,33.91,-118.35
4868,34.05,-118.28
9190,34.32,-118.35
12926,38.66,-121.3
3790,34.17,-118.37
6122,34.12,-117.92
16390,38.04,-121.25
1027,38.46,-120.55
12797,38.62,-121.45
9335,38.03,-122.7
19783,40.78,-122.93
14422,32.8,-117.23
19735,40.34,-121.8
4172,34.1,-118.23
17831,37.4,-121.85
14336,32.72,-117.17
19335,38.52,-122.85
4324,34.08,-118.35
8630,33.88,-118.38
18234,37.4,-122.1
8675,33.87,-118.32
16957,37.52,-122.31
15640,37.8,-122.42
1517,37.93,-122.07
7615,33.89,-118.23
15105,32.83,-117.01
14779,32.57,-117.08
3068,35.76,-119.25
17733,37.31,-121.8
19770,39.91,-122.12
11277,33.8,-117.96
17354,34.89,-120.43
12000,33.93,-117.57
7048,33.94,-118.05
3340,38.81,-122.66
1493,37.94,-122.01
12597,38.52,-121.48
1435,37.98,-122.01
4408,34.09,-118.23
14799,32.58,-117.11
382,37.74,-122.16
15773,37.76,-122.45
7281,33.98,-118.25
8326,33.94,-118.3
9661,41.54,-120.87
9108,34.61,-118.17
496,37.85,-122.26
15989,37.76,-122.47
19845,36.4,-119.1
2413,36.61,-119.44
20371,34.17,-118.9
7616,33.86,-118.22
17540,37.35,-121.88
15653,37.8,-122.39
15425,33.19,-117.27
13951,34.24,-117.13
1384,37.99,-122.11
296,37.76,-122.17
5298,34.06,-118.44
3593,34.24,-118.48
14447,32.81,-117.29
9400,37.91,-122.56
2281,36.79,-119.79
4236,34.12,-118.31
19353,38.68,-122.87
3001,35.3,-119.02
19915,36.31,-119.3
7147,34.03,-118.14
15201,32.91,-117.11
18296,37.39,-122.12
10159,33.9,-117.95
3744,34.16,-118.4
10129,33.92,-117.89
16036,37.72,-122.46
18967,38.25,-122.03
12621,38.51,-121.53
5275,34.05,-118.5
18950,38.26,-122.05
17429,34.65,-120.45
12852,38.68,-121.37
16042,37.72,-122.47
6831,34.09,-118.12
18979,38.25,-122.02
19001,38.34,-121.92
14734,32.81,-117.02
10218,33.89,-117.88
14759,32.56,-117.06
18331,37.45,-122.15
16826,37.63,-122.49
14000,34.59,-117.24
981,37.68,-121.85
17249,34.42,-119.7
6468,34.1,-118.05
16732,35.41,-120.65
12935,38.66,-121.28
5563,33.9,-118.29
3876,34.22,-118.51
10827,33.68,-117.92
16098,37.75,-122.5
15165,32.95,-117.03
20449,34.28,-118.88
18164,37.36,-122.03
6631,34.16,-118.16
3877,34.21,-118.5
12653,38.52,-121.45
20067,37.98,-120.4
13696,34.13,-117.2
17574,37.32,-121.92
1855,41.73,-124.22
192,37.79,-122.25
12835,38.69,-121.45
2663,40.11,-123.75
13812,34.89,-117.02
6034,34.07,-117.73
1383,37.99,-122.09
1606,37.88,-122.08
17393,34.96,-120.45
3887,34.21,-118.53
2201,36.83,-119.85
9389,37.91,-122.53
10856,33.69,-117.88
19381,37.77,-120.86
278,37.79,-122.19
12791,38.65,-121.46
13451,34.09,-117.41
5384,34.02,-118.4
7067,33.95,-118.01
5532,33.97,-118.42
19415,37.71,-121.07
14023,32.75,-117.16
8910,34.02,-118.48
15322,33.2,-117.35
8486,33.91,-118.3
17684,37.28,-121.85
1868,38.95,-119.95
6989,33.97,-118.04
6238,34.05,-117.97
10600,33.68,-117.8
16515,37.8,-121.22
1893,38.92,-120.01
14879,32.63,-117.07
7567,33.9,-118.2
3481,34.3,-118.52
7130,34.02,-118.11
3698,34.21,-118.38
6353,34.14,-117.95
1189,39.43,-121.52
7546,33.92,-118.2
11499,33.72,-118.05
1499,37.95,-122.04
19278,38.43,-122.72
18597,37.08,-122.08
5038,33.98,-118.35
104,37.81,-122.26
4311,34.09,-118.32
19087,38.35,-122.5
13455,34.11,-117.39
12896,38.64,-121.34
17600,37.3,-121.9
576,37.77,-122.06
6337,33.98,-117.96
18489,37.01,-121.59
19051,38.43,-121.81
9019,34.16,-118.78
12510,38.55,-121.42
17506,37.35,-121.9
11450,33.68,-117.98
13417,34.06,-117.47
1653,37.92,-122.01
16630,35.32,-120.83
15826,37.75,-122.42
13146,38.19,-121.57
984,37.66,-121.87
18135,37.35,-122.01
9492,39.23,-123.2
10691,33.63,-117.72
11738,38.9,-121.07
4464,34.08,-118.19
14244,32.7,-117.1
7242,34.01,-118.12
4836,34.04,-118.29
8237,33.77,-118.19
3788,34.17,-118.37
8246,33.78,-118.19
3993,34.18,-118.57
19612,37.47,-121.11
17264,34.41,-119.71
12783,38.64,-121.44
12354,33.8,-116.49
13774,34.04,-117.05
18628,37.1,-121.87
3393,34.27,-118.31
12109,33.97,-117.29
4765,34.04,-118.35
16605,35.63,-120.67
16426,38.22,-121.42
6587,34.22,-118.23
13971,34.25,-116.85
6505,34.08,-118.06
6185,34.1,-117.92
8062,33.83,-118.2
11951,33.94,-117.44
4810,34.02,-118.36
17458,34.42,-119.86
1398,37.96,-122.06
16461,38.11,-121.3
7746,33.93,-118.15
3138,34.86,-118.15
12363,33.84,-116.47
10447,33.43,-117.59
96,37.82,-122.26
5915,34.28,-118.44
8126,33.81,-118.18
3260,39.18,-122.91
2898,35.38,-119.01
15607,32.79,-116.66
6789,34.09,-118.16
3951,34.21,-118.63
18611,37.11,-122.05
239,37.79,-122.2
16044,37.72,-122.45
10280,33.88,-117.81
5470,33.99,-118.47
19122,38.25,-122.65
6673,34.15,-118.11
3190,36.29,-119.8
10681,33.53,-117.76
16360,38.0,-121.3
17184,37.5,-122.49
20334,34.23,-119.01
15405,33.23,-117.24
15797,37.77,-122.43
3040,35.5,-119.18
10430,33.45,-117.64
13359,34.02,-117.66
17617,37.28,-121.94
5931,34.14,-117.83
1890,38.93,-120.01
170,37.79,-122.25
3099,35.65,-117.68
13960,34.25,-116.9
1887,38.92,-119.98
9930,38.29,-122.33
13677,34.06,-117.25
11567,33.77,-118.02
16865,37.64,-122.41
19282,38.42,-122.72
2024,36.71,-119.78
3072,35.78,-119.23
9369,37.92,-122.51
6394,34.14,-118.06
12286,33.86,-116.95
13004,38.67,-121.27
10965,33.77,-117.89
19292,38.41,-122.84
4495,34.06,-118.22
1442,37.99,-122.0
3079,35.44,-119.01
16556,37.8,-121.29
13202,34.06,-117.71
17823,37.38,-121.86
17514,37.33,-121.92
13459,34.1,-117.39
4052,34.15,-118.43
14630,32.77,-117.18
11356,33.74,-117.93
7210,34.03,-118.17
3155,35.13,-118.44
14760,32.56,-117.06
13719,34.07,-117.18
160,37.8,-122.24
16838,37.57,-122.48
7118,33.9,-118.02
137,37.82,-122.19
6896,34.05,-118.12
7974,33.87,-118.2
694,37.7,-122.11
18417,37.27,-121.84
17556,37.33,-121.88
13906,34.07,-116.47
16822,37.65,-122.53
4685,34.07,-118.35
7236,34.01,-118.14
12560,38.54,-121.46
9979,38.68,-122.27
3506,34.26,-118.45
5845,34.18,-118.3
5702,34.23,-118.25
13033,38.66,-121.2
16876,37.6,-122.4
17618,37.28,-121.94
10459,33.5,-117.63
10740,33.6,-117.9
6803,34.08,-118.13
18864,38.1,-122.21
17273,34.41,-119.7
6068,34.01,-117.86
17381,34.96,-120.38
14175,32.75,-117.05
559,37.76,-122.24
10698,33.6,-117.75
17456,34.69,-120.43
6278,34.02,-117.95
12685,38.53,-121.4
11647,33.81,-118.03
12294,33.93,-116.93
8138,33.83,-118.1
6436,34.11,-118.01
17968,37.31,-121.99
17411,34.97,-120.64
7321,33.99,-118.18
14202,32.7,-117.01
12426,33.63,-116.2
16954,37.53,-122.3
468,37.87,-122.29
12488,38.57,-121.49
15259,33.03,-117.27
10142,33.9,-117.89
12374,33.78,-116.36
7366,33.96,-118.21
19152,38.34,-122.7
14473,32.84,-117.22
6861,34.06,-118.13
16831,37.59,-122.49
113,37.83,-122.25
19688,39.13,-121.62
18026,37.25,-121.92
14508,32.86,-117.2
17263,34.42,-119.71
418,37.89,-122.25
3157,35.3,-118.91
12586,38.53,-121.5
5538,33.97,-118.43
20522,38.54,-121.54
14394,32.75,-117.24
18824,41.86,-121.93
18750,40.71,-122.4
17836,37.41,-121.86
17127,37.47,-122.13
15012,32.76,-117.04
15439,33.2,-117.23
9255,36.97,-120.06
5595,33.79,-118.25
11093,33.84,-117.87
3273,39.05,-122.92
15537,33.12,-117.11
988,37.7,-121.86
7475,33.93,-118.2
15243,33.0,-117.25
6045,34.05,-117.75
8444,33.91,-118.37
6080,34.09,-117.86
10926,33.74,-117.89
15650,37.8,-122.41
8335,33.94,-118.31
5503,33.99,-118.43
6249,34.05,-117.98
19592,37.62,-120.87
10475,33.6,-117.68
16497,37.79,-120.98
14987,32.73,-117.03
17041,37.51,-122.28
12280,33.92,-116.99
15069,32.78,-116.97
14256,32.71,-117.11
6730,34.11,-118.14
4379,34.09,-118.28
6555,34.18,-118.1
14929,32.66,-117.01
19901,36.32,-119.29
13304,34.09,-117.63
1396,37.97,-122.07
6782,34.11,-118.16
19733,40.14,-122.12
8041,33.84,-118.16
14393,32.75,-117.24
11113,33.85,-117.88
19869,36.33,-119.35
3263,39.14,-122.88
15625,37.8,-122.41
14258,32.7,-117.11
6942,33.98,-118.08
872,37.56,-122.02
4184,34.13,-118.22
30,37.84,-122.28
17008,37.54,-122.29
7884,33.87,-118.13
20467,34.27,-118.75
11822,38.94,-121.07
3796,34.16,-118.36
10636,33.7,-117.79
5676,33.71,-118.29
15185,32.96,-117.1
8959,34.01,-118.39
15503,33.08,-117.25
14985,32.74,-117.02
13119,38.36,-121.29
3607,34.23,-118.46
13337,34.04,-117.68
1098,39.59,-121.74
10537,33.5,-117.7
18240,37.4,-122.08
994,37.71,-121.73
17347,34.87,-120.33
14178,32.71,-117.07
5547,33.96,-118.4
10307,33.9,-117.82
16514,37.8,-121.22
8328,33.94,-118.29
9168,34.42,-118.56
5604,33.78,-118.28
3100,35.65,-117.69
4917,34.01,-118.26
15516,33.16,-117.08
18999,38.35,-121.95
9151,34.44,-118.53
4890,34.02,-118.25
10620,33.67,-117.82
10499,33.51,-117.67
3651,34.21,-118.44
14954,32.75,-116.98
12768,38.61,-121.43
17692,37.29,-121.81
6959,34.0,-118.07
4856,34.02,-118.31
1001,37.68,-121.77
20339,34.24,-119.02
15292,33.1,-117.29
68,37.81,-122.3
6766,34.1,-118.13
12245,33.74,-116.97
3409,34.26,-118.31
10042,39.21,-121.05
9084,34.67,-118.19
18942,38.3,-122.08
10782,33.64,-117.91
12491,38.57,-121.47
10050,39.18,-120.99
14331,32.72,-117.15
19942,36.25,-119.4
11562,33.75,-117.99
8864,34.06,-118.39
9535,37.42,-120.77
14539,32.92,-117.14
8408,33.93,-118.35
6688,34.15,-118.08
20277,34.18,-119.22
12729,38.61,-121.36
4513,34.03,-118.19
2049,36.73,-119.73
17898,37.34,-121.93
10677,33.54,-117.77
385,37.9,-122.29
6102,34.11,-117.89
7780,33.91,-118.08
19973,36.19,-118.93
8763,33.81,-118.37
19730,38.79,-121.51
6521,34.06,-118.03
18289,37.38,-122.11
2198,36.85,-119.88
12434,33.49,-115.84
17908,37.35,-121.97
2876,35.38,-118.97
12092,33.81,-117.43
8534,33.9,-118.36
6937,34.0,-118.09
5331,34.04,-118.46
4033,34.17,-118.55
443,37.87,-122.28
4728,34.05,-118.36
19391,37.78,-120.85
18,37.84,-122.26
12350,33.81,-116.5
5863,34.19,-118.34
18741,40.57,-122.35
2283,36.79,-119.76
7648,33.82,-118.27
5708,34.21,-118.23
19685,39.14,-121.61
15796,37.76,-122.42
18713,40.56,-122.45
19767,40.02,-122.06
7876,33.88,-118.14
13425,34.18,-117.4
13927,34.83,-114.6
10057,39.25,-121.02
12013,33.91,-117.57
9016,34.13,-118.76
332,37.74,-122.17
16372,38.03,-121.3
8346,33.94,-118.32
1486,37.96,-122.02
10536,33.49,-117.71
12666,38.48,-121.45
20354,34.18,-118.97
5258,34.07,-118.49
16777,37.69,-122.47
10026,39.23,-121.07
10304,33.87,-117.78
4866,34.04,-118.28
18398,37.22,-121.77
4904,34.01,-118.26
4713,34.06,-118.36
20407,34.2,-118.88
1768,37.95,-122.34
1744,37.96,-122.35
15554,33.11,-117.08
5041,33.97,-118.32
7706,33.97,-118.13
13426,34.2,-117.38
10195,33.86,-117.93
2462,36.43,-119.69
13915,34.15,-116.09
1167,39.51,-121.56
8024,33.84,-118.11
6571,34.19,-118.15
5002,34.01,-118.32
11698,33.89,-117.97
2196,36.83,-119.91
15551,33.11,-117.09
6275,34.01,-117.93
10481,33.59,-117.68
3757,34.19,-118.38
13430,34.11,-117.42
7373,33.96,-118.23
10803,33.61,-117.93
13331,34.05,-117.66
7752,33.92,-118.15
14902,32.61,-117.06
1355,38.03,-121.92
16823,37.65,-122.48
6292,34.0,-117.88
19413,37.72,-121.01
13406,34.09,-117.46
18084,37.32,-122.06
12050,33.89,-117.58
497,37.85,-122.27
7055,33.92,-118.03
464,37.87,-122.27
3056,35.59,-119.35
14138,32.74,-117.07
4870,34.03,-118.28
12774,38.61,-121.44
17468,34.45,-119.84
7254,33.98,-118.15
3084,35.72,-118.47
12015,33.93,-117.5
8696,33.86,-118.34
6016,34.06,-117.78
12152,33.68,-117.27
14680,32.83,-117.1
17129,37.47,-122.15
15311,33.19,-117.38
8381,33.96,-118.36
12186,33.71,-117.34
2319,36.82,-119.7
13513,34.12,-117.33
14126,32.75,-117.08
16983,37.56,-122.29
5726,34.19,-118.22
11094,33.84,-117.88
13553,34.11,-117.31
5125,33.98,-118.27
2518,39.74,-122.13
16143,37.77,-122.47
19701,39.13,-121.65
10067,39.4,-120.09
16956,37.53,-122.3
3526,34.27,-118.51
15520,33.13,-117.07
4788,34.02,-118.32
11362,33.73,-117.93
5688,34.24,-118.24
14575,32.81,-117.22
20045,36.06,-119.02
20466,34.27,-118.75
13136,38.47,-121.44
15060,32.79,-116.93
3250,35.99,-119.96
5241,34.12,-118.39
10189,33.87,-117.96
5884,34.16,-118.34
1140,39.74,-121.59
5293,34.07,-118.43
6635,34.15,-118.16
2791,37.37,-118.39
12373,33.8,-116.45
18096,37.33,-122.04
10850,33.66,-117.91
11378,33.69,-117.95
9891,38.29,-122.28
5228,33.94,-118.24
10562,33.72,-117.76
6485,34.09,-118.03
15665,37.81,-122.43
6431,34.13,-118.01
7735,33.93,-118.13
3434,34.25,-118.43
11587,33.78,-118.02
12220,33.51,-117.32
13911,34.21,-116.22
4743,34.05,-118.36
20443,34.27,-118.85
14061,32.74,-117.12
11811,38.92,-121.05
10652,33.55,-117.77
5611,33.79,-118.27
13881,34.42,-117.27
13794,34.66,-117.5
3124,35.03,-117.82
5585,33.81,-118.3
4671,34.05,-118.29
16717,35.5,-120.66
16430,38.09,-121.35
15345,33.21,-117.38
6817,34.08,-118.08
5255,34.07,-118.48
18807,40.9,-121.64
2092,36.75,-119.78
16844,37.63,-122.43
4602,34.05,-118.27
3119,35.73,-117.87
5572,33.86,-118.3
17717,37.35,-121.75
8070,33.84,-118.18
10028,39.23,-121.05
1585,37.84,-122.0
20571,38.53,-121.99
14669,32.78,-117.12
13767,34.04,-117.12
10428,33.45,-117.64
2798,36.13,-117.69
4317,34.08,-118.34
14429,32.79,-117.25
413,37.89,-122.28
11082,33.82,-117.86
8012,33.85,-118.12
8539,33.9,-118.36
12989,38.68,-121.26
2694,32.86,-115.4
6104,34.12,-117.89
7646,33.81,-118.27
11910,33.96,-117.41
20495,34.29,-118.71
11313,33.77,-117.95
7430,33.95,-118.21
9832,36.63,-121.93
14093,32.76,-117.11
10080,39.35,-120.24
2116,36.75,-119.72
7141,34.03,-118.13
7351,33.97,-118.16
5432,34.02,-118.41
9368,37.93,-122.52
9319,37.97,-122.53
67,37.8,-122.29
19009,38.35,-122.0
13947,34.24,-117.2
4096,34.15,-118.41
13550,34.11,-117.3
4139,34.12,-118.18
2189,36.72,-120.08
2934,35.36,-118.98
18110,37.31,-122.03
14057,32.75,-117.13
10229,33.86,-117.93
9120,34.58,-118.1
11195,33.83,-117.93
14920,32.6,-117.03
11736,38.88,-121.06
2948,35.32,-118.99
1425,37.97,-122.04
14894,32.61,-117.06
20233,34.24,-119.29
5047,34.01,-118.36
4661,34.05,-118.3
3102,35.64,-117.68
8909,34.03,-118.48
10483,33.59,-117.68
1198,39.36,-121.69
8860,34.06,-118.37
14561,32.83,-117.22
6041,34.05,-117.73
18739,40.54,-122.35
8535,33.9,-118.35
2767,33.4,-115.99
951,37.71,-121.93
7813,33.9,-118.11
191,37.79,-122.24
5973,34.12,-117.77
314,37.76,-122.19
2474,36.43,-119.85
10651,33.51,-117.77
13235,34.15,-117.66
10415,33.65,-117.58
15909,37.74,-122.42
5671,33.72,-118.31
18162,37.36,-122.04
14914,32.6,-117.04
10593,33.69,-117.8
20631,39.33,-121.4
7342,33.97,-118.14
2611,40.93,-123.88
7207,34.02,-118.18
1410,37.94,-122.07
18665,36.99,-121.96
2320,36.81,-119.7
3281,39.09,-122.83
8839,34.08,-118.39
2863,35.37,-118.87
11730,38.98,-120.91
9341,38.0,-122.6
10332,33.86,-117.76
7550,33.92,-118.21
16026,37.73,-122.44
14644,32.78,-117.2
9409,37.89,-122.53
10656,33.67,-117.83
923,37.49,-121.89
5904,34.29,-118.43
14328,32.71,-117.17
508,37.84,-122.3
8121,33.79,-118.19
1573,37.82,-121.99
13263,34.1,-117.66
3357,40.42,-120.65
4882,34.02,-118.26
16396,38.01,-121.24
11497,33.67,-118.07
2453,36.52,-119.55
12830,38.69,-121.43
19251,38.48,-122.75
10433,33.43,-117.62
11915,33.95,-117.4
16935,37.56,-122.33
9687,36.74,-121.62
12067,33.85,-117.58
19818,36.57,-119.3
19176,38.43,-122.67
13504,34.12,-117.32
6557,34.19,-118.12
5517,33.97,-118.38
1202,39.36,-121.69
14088,32.76,-117.09
4620,34.08,-118.31
4753,34.04,-118.33
7042,33.94,-118.09
3089,35.64,-118.33
1783,37.94,-122.36
13156,36.86,-121.42
7206,34.02,-118.18
8730,33.84,-118.31
1501,37.94,-122.05
15611,32.67,-116.89
5812,34.13,-118.26
11285,33.8,-117.94
6423,34.14,-118.0
5066,33.99,-118.3
12955,38.7,-121.3
4935,34.0,-118.27
18318,37.44,-122.11
15366,33.34,-117.17
2574,40.78,-124.13
377,37.75,-122.16
15539,33.11,-117.11
3453,34.3,-118.42
1548,37.75,-121.94
735,37.67,-122.15
553,37.77,-122.26
506,37.84,-122.29
9192,34.36,-118.29
7645,33.81,-118.27
18645,36.96,-121.98
18746,40.51,-122.34
15331,33.24,-117.31
12202,33.61,-117.16
20419,34.19,-118.85
4078,34.15,-118.36
1238,38.29,-120.27
10947,33.76,-117.87
7108,33.89,-118.01
20146,34.35,-119.08
18631,37.03,-121.96
6672,34.15,-118.11
17769,37.35,-121.84
13334,34.05,-117.67
18256,37.38,-122.09
2593,40.81,-124.23
11501,33.7,-118.09
19914,36.31,-119.29
17552,37.34,-121.86
16740,37.7,-122.43
8604,33.88,-118.37
6927,34.0,-118.07
18144,37.35,-122.04
1000,37.69,-121.76
17426,34.65,-120.46
2162,36.78,-119.82
18429,37.26,-121.86
18366,37.24,-122.08
292,37.77,-122.16
19528,37.64,-120.97
12807,38.61,-121.45
7045,33.94,-118.04
16669,35.32,-120.7
501,37.85,-122.27
15929,37.73,-122.42
5009,34.02,-118.33
6665,34.17,-118.09
9530,38.97,-123.1
770,37.66,-122.1
4966,34.01,-118.29
6085,34.09,-117.87
14618,32.8,-117.15
1857,41.76,-124.17
5001,33.99,-118.28
7117,33.91,-118.02
1026,38.45,-120.59
2647,40.55,-124.13
19003,38.33,-121.96
8568,33.9,-118.42
2007,36.75,-119.79
4329,34.08,-118.31
3406,34.26,-118.3
14376,32.72,-117.25
12983,38.68,-121.3
3528,34.27,-118.53
16533,37.79,-121.18
9055,34.69,-118.13
18734,40.52,-122.39
17635,37.28,-121.92
14566,32.84,-117.21
4766,34.03,-118.36
9436,37.51,-119.99
2424,36.61,-119.54
1589,37.81,-121.95
17808,37.41,-121.87
17756,37.35,-121.81
597,37.7,-122.07
8353,33.95,-118.32
18176,37.36,-122.0
14584,32.84,-117.18
4029,34.18,-118.54
16457,38.13,-121.29
9340,37.99,-122.59
4150,34.12,-118.21
2187,36.74,-120.04
8460,33.9,-118.36
9454,39.77,-123.23
17593,37.3,-121.91
18936,38.16,-122.14
5747,34.17,-118.27
5540,33.96,-118.43
14820,32.67,-117.11
12380,33.77,-116.47
13841,34.53,-117.31
155,37.81,-122.23
2713,32.81,-115.58
2771,33.34,-115.9
17483,34.45,-119.82
1660,37.94,-121.94
3032,35.41,-119.12
18623,37.05,-122.03
14246,32.71,-117.1
12566,38.54,-121.45
12981,38.68,-121.31
7384,33.97,-118.25
7738,33.94,-118.14
10187,33.87,-117.95
9824,36.62,-121.91
15158,32.97,-117.05
245,37.78,-122.21
10016,39.23,-121.18
732,37.68,-122.13
10065,39.31,-121.13
17490,34.44,-119.83
10443,33.42,-117.6
5153,33.95,-118.26
16993,37.56,-122.27
13888,34.85,-116.51
302,37.76,-122.18
7431,33.94,-118.2
14660,32.81,-117.14
15924,37.72,-122.44
5652,33.73,-118.29
17240,34.43,-119.68
37,37.83,-122.28
2865,35.34,-118.88
20376,34.16,-118.86
8348,33.94,-118.32
12789,38.62,-121.44
16357,38.03,-121.31
1030,38.55,-120.25
18757,40.67,-122.38
12958,38.68,-121.33
12321,33.93,-116.61
5560,33.95,-118.44
2891,35.39,-118.98
19966,36.21,-119.08
9794,36.53,-121.77
18782,40.48,-122.33
243,37.78,-122.21
13051,38.61,-121.29
900,37.53,-121.97
1376,38.01,-122.12
13320,34.06,-117.67
4298,34.09,-118.29
19933,36.3,-119.32
6162,34.08,-117.94
13468,34.09,-117.38
6792,34.08,-118.15
18860,38.12,-122.22
709,37.68,-122.06
13017,38.7,-121.2
2154,36.78,-119.8
16892,37.58,-122.37
6148,34.1,-117.97
17136,37.45,-122.16
17236,34.44,-119.66
483,37.86,-122.27
13059,38.6,-121.28
4900,34.01,-118.25
12745,38.64,-121.38
6332,33.99,-117.95
5687,34.24,-118.24
17871,37.44,-122.07
16308,38.01,-121.36
17207,34.43,-119.72
6456,34.11,-118.05
1097,39.66,-121.77
18910,38.13,-122.26
13052,38.61,-121.3
15885,37.74,-122.4
20595,39.16,-121.56
4287,34.1,-118.3
